Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
PT World Geeks Hub,.NET Developer,Other,Bandung,,"['.net', 'c', 'c#', 'mysql', 'sql']",Diploma,kontrak/temporer
Granitor/CheckProof,[240] UX Designer,Frontend Engineer,Bandung,,['figma'],Tidak Disebutkan,full time
PT Mid Solusi Nusantara (MEKARI),Project Manager 2,Product / Project / Scrum,Jakarta Raya,,['agile'],Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),SAP SD Consultant (Automotive Industry),ERP / SAP / Odoo / Dynamics,Jakarta Utara,14500000.0,[],S1,kontrak/temporer
PT Global Service Indonesia,Fullstack NET Developer - GSI,Fullstack Engineer,Jakarta Raya,,"['.net', 'azure', 'c', 'c#', 'html', 'mysql', 'sql']",Diploma,full time
TIKTOK PTE LTD (TIKTOK),Music Product Operations Manager (Jakarta) - TikTok SoundOn,Other,Jakarta Raya,,['excel'],Tidak Disebutkan,full time
VisionTech Pte. Ltd,Full Stack Developer,Fullstack Engineer,Jakarta Raya(Jarak jauh),12500000.0,"['.net', 'aws', 'c', 'c#', 'css', 'docker', 'git', 'html', 'javascript', 'machine learning', 'mysql', 'postgresql', 'python', 'pytorch', 'redis']",Tidak Disebutkan,full time
PT Fintek Digital Indonesia,Full Stack Developer (Java),Backend Engineer,Jakarta Selatan,,"['angular', 'docker', 'git', 'java', 'javascript', 'react', 'spring boot', 'typescript']",Tidak Disebutkan,full time
Luminare Consulting,Head of IT (International School),Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Oveersea Global Group,SAP ABAP Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Raya,8500000.0,[],S1,kontrak/temporer
Cermati Fintech Group,Senior Software Engineer,Other,Jakarta Raya,,"['git', 'google cloud', 'java', 'kubernetes', 'mysql', 'postgresql', 'terraform']",Tidak Disebutkan,full time
PT Platinumetrix Global Inovasi,Fullstack Golang Developer,Backend Engineer,South Tangerang,9500000.0,['golang'],Tidak Disebutkan,full time
Demandlane,"Senior Backend Engineer (Java, Lambda)",Backend Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'azure', 'iot', 'java', 'linux', 'mongodb', 'mysql', 'networking', 'postgresql', 'sql']",Tidak Disebutkan,full time
ParagonCorp,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['agile', 'aws', 'azure', 'docker', 'go', 'jenkins', 'kubernetes', 'python', 'terraform']",S1,full time
PT Mid Solusi Nusantara (MEKARI),Presales (Mekari Talenta) - Yogyakarta Placement,Sales / Presales / Solution,Yogyakarta,,[],S1,full time
Midas Daya Technology,Midd. Java Developer,Backend Engineer,Jakarta Raya,,"['git', 'java', 'mysql', 'oracle', 'postgresql', 'spring boot', 'sql']",S1,kontrak/temporer
Happy5,Associate Product Manager (Remote),Security / Cybersecurity,Jakarta Raya(Jarak jauh),,"['figma', 'go']",Tidak Disebutkan,full time
PT IBM Indonesia,Product Manager,Product / Project / Scrum,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,full time
PT. DAKARA TEKNOLOGI INDONESIA,Remote Software Developer,Other,Tangerang,8250000.0,"['agile', 'aws', 'azure', 'c', 'c#', 'docker', 'git', 'java', 'mongodb', 'mysql', 'oracle', 'postgresql', 'python', 'redis', 'scrum', 'spring boot', 'sql']",S1,full time
Halosis,Senior Full Stack Developer,Fullstack Engineer,Jakarta Barat,,"['aws', 'azure', 'docker', 'flask', 'javascript', 'kubernetes', 'laravel', 'nlp', 'node.js', 'php', 'python', 'react', 'typescript', 'vue']",Tidak Disebutkan,full time
PT Platinumetrix Global Inovasi,Fullstack Golang + React.Js Developer,Backend Engineer,Jakarta Raya,9500000.0,"['golang', 'react']",Tidak Disebutkan,full time
PT GWS Era Medika,Senior Product Manager,Product / Project / Scrum,Jakarta Raya,,['agile'],S1,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Project Maneger (Life Insurance Industry),Other,Jakarta Utara,13500000.0,['c'],Tidak Disebutkan,kontrak/temporer
PT. DAKARA TEKNOLOGI INDONESIA,Senior Developer / Team Lead (System Architecture),Other,Tangerang,8250000.0,"['agile', 'aws', 'azure', 'c', 'c#', 'docker', 'git', 'java', 'javascript', 'mongodb', 'mysql', 'postgresql', 'python', 'redis', 'scrum', 'sql']",S1,full time
PT SoftwareSeni,AI Engineer (Python),Data / AI,Yogyakarta,,"['css', 'django', 'git', 'html', 'javascript', 'mysql', 'pandas', 'postgresql', 'python']",Diploma,full time
PT Platinumetrix Global Inovasi,FullStack Golang Developer (ReactJS + Golang),Backend Engineer,Jakarta Raya,8500000.0,"['docker', 'golang', 'javascript', 'kubernetes', 'sql']",S1,kontrak/temporer
PT Sea Group,QA Engineer (Digital Purchase) - Sea Labs,QA / Tester,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Elabram Systems,Senior Software Engineer,Other,Jakarta Raya,,"['agile', 'aws', 'git', 'golang', 'java', 'mysql']",S1,kontrak/temporer
Arkana,Solution Architect,Other,Jakarta Raya,,['go'],Tidak Disebutkan,full time
NAVEGaid,UX/UI Designer (E-Commerce & Web Apps) - 7th hire at a Startup!,Frontend Engineer,Jakarta Raya,6750000.0,"['css', 'figma', 'html', 'ui/ux']",Tidak Disebutkan,kontrak/temporer
Smart Working Solutions,"Lowongan Kerja HR109 Mid-level Front End Engineer Remote, Full-Time EU",Frontend Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'css', 'docker', 'html', 'javascript', 'typescript', 'vue']",Tidak Disebutkan,full time
ParagonCorp,Master Data Management (Product to Market),Data / AI,Jakarta Raya,,[],S1,full time
PT. Entrepreneur Trust Digital,Tech Lead,Other,Jakarta Pusat,13000000.0,"['agile', 'css', 'figma', 'golang', 'redis', 'typescript']",Tidak Disebutkan,kontrak/temporer
Vida,Data Engineer,Data / AI,Jakarta Raya,,"['aws', 'spark', 'sql', 'terraform']",Tidak Disebutkan,full time
Cloudisai Technology Services,.NET Developer (Middle – Senior),Other,Yogyakarta,,"['.net', 'c', 'c#', 'git', 'penetration testing', 'sql']",S1,full time
PT. Elabram Systems,Backend Developer,Backend Engineer,Jakarta Pusat,,"['agile', 'angular', 'golang', 'mysql', 'php', 'scrum']",S1,full time
PT Mitra Solusi Telematika,SAP Product Manager,Product / Project / Scrum,Jakarta Selatan,,['go'],S1,full time
Gefami Services Indonesia,System Analyst,Business / System Analyst,Jakarta Raya,,['sql'],Tidak Disebutkan,kontrak/temporer
PT Peternakan Ayam Manggis,Backend Developer,Backend Engineer,Jakarta Selatan,,"['laravel', 'react']",S1,full time
Indodana,Lead Software Engineer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Mitra Solusi Telematika,Software Developer (Project Based),Other,Jakarta Selatan,,"['aws', 'c', 'c#', 'docker', 'git', 'jenkins']",S1,kontrak/temporer
PT GITS Indonesia,Front End Developer (Vue.js),Frontend Engineer,Bandung,,"['javascript', 'typescript', 'ui/ux', 'vue']",S1,kontrak/temporer
PT Graha Karya Informasi,System Security Engineer Server & Database,Data / AI,Jakarta Raya,,"['c', 'linux']",Tidak Disebutkan,kontrak/temporer
PT Nusantara Sukses Teknologi (Nusatek.id),Backend Developer (Golang),Backend Engineer,Jakarta Selatan,9000000.0,"['golang', 'redis']",S1,full time
PT Platinumetrix Global Inovasi,Fullstack ReactJS & Golang Developer,Backend Engineer,Tangerang,9000000.0,"['agile', 'golang', 'react', 'sql']",Diploma,kontrak/temporer
PT SUPRANUSA SINDATA,[242] Full Stack Developer,Fullstack Engineer,Jakarta Utara,,"['css', 'git', 'javascript', 'node.js', 'postgresql', 'typescript', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT COGNIFY DIGITAL TECHNOLOGY INDONESIA,UI/UX Designer,Frontend Engineer,DI Yogyakarta,550000.0,"['figma', 'go']",S1,kontrak/temporer
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),ETL Developer - Location: Yogyakarta (Full WFO),Data / AI,Yogyakarta,,"['aws', 'azure', 'oracle', 'postgresql', 'python', 'sql']",S1,kontrak/temporer
PT Sea Group,Product Management (Enterprise Efficiency - People Systems) - Sea Labs,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,['c'],Tidak Disebutkan,full time
PT. Brajakara Teknologi Media,Junior Backend Developer,Backend Engineer,Bandung,,"['css', 'django', 'html', 'linux', 'python']",Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Backend Engineer (Node.JS / Express.Js) - English Speaker,Backend Engineer,Jakarta Raya,,"['c', 'c#', 'docker', 'javascript', 'mysql', 'node.js', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Tech Security Solution,Technical Solution Consultant (Presales),Sales / Presales / Solution,Jakarta Selatan,8500000.0,['cybersecurity'],S1,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Fullstack Golang - Banking,Backend Engineer,Jakarta Selatan,10850000.0,"['golang', 'networking', 'react', 'typescript']",Tidak Disebutkan,kontrak/temporer
PT Lentera Bangsa Benderang,Mobile Developer,Mobile Developer,Jakarta Selatan,12500000.0,"['agile', 'android', 'flutter', 'git', 'kotlin', 'scrum']",Tidak Disebutkan,kontrak/temporer
PT Mid Solusi Nusantara (MEKARI),Software Engineer I - Frontend,Frontend Engineer,Jakarta Raya,,"['agile', 'javascript', 'scrum', 'vue']",Tidak Disebutkan,full time
PT GITS Indonesia,Java Developer (Project Based),Backend Engineer,Jakarta Pusat,,"['aws', 'docker', 'java', 'kubernetes', 'mongodb', 'postgresql', 'spring boot']",S1,kontrak/temporer
PT Alpha Citra Siber Indonesia,Cyber Security Engineer (Patch Management),Security / Cybersecurity,Jakarta Raya(Hibrid),,"['cybersecurity', 'linux', 'python']",Tidak Disebutkan,full time
PT Kamoro Maxima Integra,Frontend Developer,Frontend Engineer,Jakarta Selatan,,"['agile', 'css', 'git', 'html', 'javascript', 'react', 'react native', 'vue']",S1,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Project Manager - Manufacture Industry,Product / Project / Scrum,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,kontrak/temporer
Igloo,Senior Business Analyst,Business / System Analyst,Jakarta Raya,,"['agile', 'c', 'scrum', 'sql']",S1,full time
Pengiklan Anonim,Senior Engineer IT,Other,Jakarta Timur,11000000.0,"['django', 'docker', 'flask', 'golang', 'java', 'kubernetes', 'node.js', 'postgresql', 'python', 'redis', 'spring boot']",Tidak Disebutkan,kontrak/temporer
PT Sea Group,"Engineer, Frontend",Frontend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
Widya Analytic,Junior Odoo Developer,ERP / SAP / Odoo / Dynamics,Sleman,5625000.0,"['agile', 'css', 'html', 'javascript', 'python']",S1,full time
TurnkeyID,Product Manager Internship,Product / Project / Scrum,Malang,2250000.0,[],Tidak Disebutkan,kontrak/temporer
Pengiklan Anonim,IT PROGRAMMER MANAGER (ERP),ERP / SAP / Odoo / Dynamics,Jakarta Utara,,[],S1,full time
PT JAVAN CIPTA SOLUSI,Internship Programmer Golang + React,Backend Engineer,Sleman,2425000.0,"['agile', 'css', 'docker', 'git', 'golang', 'html', 'javascript', 'mysql', 'postgresql', 'react', 'scrum']",Tidak Disebutkan,kontrak/temporer
PT. INDOKINGDEE JAYA TEC,Konsultan Implementasi ERP (Mandarin),ERP / SAP / Odoo / Dynamics,Surabaya,25000000.0,"['go', 'oracle']",S1,full time
PT IDStar Cipta Teknologi,Fullstack Developer,Fullstack Engineer,Jakarta Raya,,[],S1,full time
SOLS SuriaX,Senior Web Application Developer,Other,Jakarta Pusat,17500000.0,"['agile', 'css', 'git', 'google cloud', 'html', 'javascript', 'mysql', 'node.js', 'postgresql', 'react', 'typescript']",Diploma,full time
PT Sea Group,AI Solutions Engineer (Engineering Infrastructure) - Sea Labs,Data / AI,Jakarta Raya,,[],Tidak Disebutkan,full time
Ledgerowl,Full Stack Engineer - AI,Fullstack Engineer,Jakarta Raya(Hibrid),,"['aws', 'azure', 'css', 'docker', 'git', 'kubernetes', 'mongodb', 'pandas', 'python', 'react', 'redis', 'terraform', 'typescript']",Diploma,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Project Manager (Insurance Background),Product / Project / Scrum,Jakarta Selatan,12000000.0,['c'],Tidak Disebutkan,kontrak/temporer
PT Nityo Infotech,D365 CRM Solutions Architect Manager,Other,Jakarta Selatan,65000000.0,"['azure', 'c', 'c#', 'javascript']",S1,full time
Unilever,"Asst Finance Manager - Global Oral Care Tangerang, Banten",Other,Tangerang District,,"['agile', 'excel']",Tidak Disebutkan,full time
Tripledot Studios,Game Designer,Other,Jakarta Raya,,['ui/ux'],Tidak Disebutkan,full time
PT IDStar Cipta Teknologi,Fullstack Developer,Fullstack Engineer,Jakarta Raya,,['scrum'],S1,full time
PT Avows Technologies,IT Security Architect,Security / Cybersecurity,Jakarta Selatan,16500000.0,"['aws', 'azure', 'kubernetes']",S1,kontrak/temporer
PT Mid Solusi Nusantara (MEKARI),Re-Implementation and Re-Training Specialist (Mekari Jurnal),Other,Jakarta Raya(Hibrid),,[],S1,full time
ParagonCorp,Backend Engineer,Backend Engineer,Jakarta Raya,,"['git', 'javascript', 'postgresql', 'redis', 'sql']",S1,full time
PT Mitra Solusi Telematika,System Analyst (Contract Base),Business / System Analyst,Jakarta Raya,,['sql'],S1,kontrak/temporer
PT. Skyshi Digital Indonesia,Backend (Golang) Developer,Backend Engineer,Yogyakarta,,"['git', 'golang', 'mongodb', 'redis']",S1,kontrak/temporer
NES Fircroft,"Geology, Geophysical & Modelling Specialist",Other,Jakarta Raya,,['c'],S1,full time
BINAR's Partner,[G06] Back End Developer,Backend Engineer,Tangerang District,,"['.net', 'aws', 'big data', 'c', 'c#', 'c++', 'git', 'java', 'spark', 'sql']",S1,full time
PT Winnersumbiri Knitting Factory,FULL STACK DEVELOPER,Fullstack Engineer,Tangerang,,"['css', 'javascript', 'php', 'sql']",S1,full time
WireHire,Business Intelligence,Data / AI,Jakarta Raya,,['tableau'],S1,full time
PT. LOTTE INNOVATE INDONESIA,Senior Full Stack Developer,Fullstack Engineer,Cilegon,,"['.net', 'agile', 'aws', 'azure', 'c', 'c#', 'css', 'docker', 'git', 'html', 'java', 'javascript', 'kubernetes', 'scrum', 'sql', 'ui/ux']",S1,full time
PT Dentsu Indonesia,Lead Data Analyst,Data / AI,Jakarta Raya(Hibrid),,"['power bi', 'python', 'sql', 'tableau']",S1,full time
Stedi Talent Solution,Senior IT Manager (Retail),Other,Jakarta Raya,,[],S1,full time
PT Graha Karya Informasi,System Analyst,Business / System Analyst,Jakarta Raya,,"['agile', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer
Indonesian Cloud,Presales Manager - Infrastructure as a service (IaaS),Network / Infra / SysAdmin,Jakarta Selatan,,"['aws', 'azure']",Tidak Disebutkan,full time
Reycom Document Solusi (RDS Group),Back End Developer,Backend Engineer,Semarang,,['.net'],Diploma,full time
Data Analytics,Senior Product Analyst,Business / System Analyst,Jakarta Raya,,[],Tidak Disebutkan,full time
Tripledot Studios,Project Manager,Product / Project / Scrum,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,full time
PT COGNIFY DIGITAL TECHNOLOGY INDONESIA,Frontend Development Engineer,Frontend Engineer,DI Yogyakarta,406250.0,"['javascript', 'react']",S1,kontrak/temporer
PT Sea Group,Back End Engineer (Marketplace Buyer) - Sea Labs,Backend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Kamoro Maxima Integra,Backend Developer,Backend Engineer,Jakarta Selatan,,"['.net', 'java', 'node.js', 'spring boot']",S1,full time
PT. Tirtamas Coldstorindo Logistik,Lowongan Kerja Senior Business Analyst,Business / System Analyst,Sidoarjo,,"['agile', 'scrum', 'ui/ux']",S1,full time
Sinarmas Mining,Senior Product Manager,Product / Project / Scrum,Jakarta Raya,,"['agile', 'iot', 'scrum']",Tidak Disebutkan,full time
"PT. Central Proteina Prima, Tbk",Odoo & Fullstack Developer,Fullstack Engineer,Jakarta Raya,,"['css', 'kotlin', 'python', 'react', 'react native', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT Mandiri International Technology,.NET Developer,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'git', 'sql']",Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Backend Developer Java Springboot for Banking Industry,Backend Engineer,Jakarta Pusat,10125000.0,"['docker', 'git', 'java', 'jenkins']",S1,kontrak/temporer
PT Aviana Sinar Abadi,Mobile Developer,Mobile Developer,Jakarta Selatan,8500000.0,['flutter'],Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Tester Manual - Banking Industry,QA / Tester,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,kontrak/temporer
PT Bagus Harapan Tritunggal,Backend Developer,Backend Engineer,Jakarta Pusat,,"['javascript', 'laravel', 'python']",S1,full time
PT. NCS CONSULTANT INDONESIA,Senior Business Analyst,Business / System Analyst,Jakarta Selatan,27500000.0,[],S1,full time
WireHire,AI Engineer,Data / AI,Jakarta Raya,,"['aws', 'azure', 'docker', 'kubernetes', 'machine learning', 'nlp', 'python', 'pytorch', 'sql', 'tensorflow']",Tidak Disebutkan,full time
PT Tiga Daya Digital Indonesia,Senior Product Manager,Product / Project / Scrum,Jakarta Raya,,"['agile', 'scrum']",S1,full time
ABeam Consulting Indonesia,Data Analytics Manager,Data / AI,Jakarta Raya,,"['python', 'sql']",Tidak Disebutkan,full time
Erajaya Group,Information Technology Engineer Lead,Other,Jakarta Raya,,"['aws', 'git', 'golang', 'mysql', 'postgresql', 'python']",S1,full time
MixWork Pte. Ltd.,Shopify & WordPress Developer,Other,Jakarta Raya(Hibrid),7250000.0,"['css', 'figma', 'git', 'html', 'javascript', 'ui/ux']",Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),ETL Developer,Data / AI,Yogyakarta,8500000.0,"['c', 'c#', 'java', 'python', 'sql']",Tidak Disebutkan,kontrak/temporer
Pengiklan Anonim,Website Developer,Other,Jakarta Raya(Jarak jauh),,"['css', 'html', 'javascript', 'ui/ux']",Tidak Disebutkan,full time
Soedarpo Informatika,iOS Developer (Swift),Mobile Developer,Jakarta Barat,8000000.0,"['git', 'ios', 'swift']",Diploma,kontrak/temporer
ABeam Consulting Indonesia,IT Infrastructure Consultant,Network / Infra / SysAdmin,Jakarta Raya,,"['aws', 'sql']",S1,full time
ABeam Consulting Indonesia,Data Management Lead,Data / AI,Jakarta Raya,,"['aws', 'azure', 'big data', 'excel', 'google cloud', 'java', 'python', 'sql', 'tableau']",Tidak Disebutkan,full time
PT 360 TEKNOLOGI INDONESIA,Java Developer,Backend Engineer,Jakarta Utara,,['java'],S1,full time
"PT. Solusi Sinergi Digital, Tbk (Surge)",Presales Engineer/Solution Consultant/Sales Engineer,Sales / Presales / Solution,Jakarta Raya,,[],Diploma,full time
PT Mid Solusi Nusantara (MEKARI),QA Engineer I,QA / Tester,Jakarta Raya(Hibrid),,['agile'],Tidak Disebutkan,full time
PT Eka Mas Republik,Front End Developer,Frontend Engineer,Jakarta Pusat,,"['react', 'react native']",S1,full time
ABeam Consulting Indonesia,BPR IT Consulting Manager,Other,Jakarta Raya,,"['agile', 'go']",Tidak Disebutkan,full time
PT Sea Group,Back End Engineer (Marketplace Order Operations) - Sea Labs,Backend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
Populix,Research Project Manager,Product / Project / Scrum,Jakarta Raya,,[],S1,full time
Tridorian,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Raya(Hibrid),,"['aws', 'azure', 'google cloud', 'python']",S1,full time
PT Mid Solusi Nusantara (MEKARI),Software Engineer II - Backend,Backend Engineer,Jakarta Raya,,"['agile', 'go', 'ruby', 'scrum']",Tidak Disebutkan,full time
Unilever,"Assistant Manager – Reporting & Distribution Forecasting Tangerang, Banten",Other,Tangerang District,,['machine learning'],Tidak Disebutkan,full time
Cermati Fintech Group,IT Governance Strategist,Other,Jakarta Raya,,"['big data', 'cybersecurity']",S1,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),.Net Developer,Other,Yogyakarta,8500000.0,"['.net', 'c', 'c#', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Agate International,Freelance Quality Assurance (FSKU),QA / Tester,Bandung,,['jira'],Tidak Disebutkan,full time
PT Accelist Lentera Indonesia,Full Stack Developer (Laravel),Backend Engineer,Bekasi,,"['css', 'html', 'java', 'javascript', 'laravel', 'mysql', 'postgresql']",Tidak Disebutkan,kontrak/temporer
PT Mid Solusi Nusantara (MEKARI),Senior AI Engineer 1,Data / AI,Jakarta Raya(Hibrid),,"['deep learning', 'machine learning']",S1,full time
Cermati Fintech Group,Product Owner (Associate - Senior/Lead Level Available),Security / Cybersecurity,Jakarta Raya,,"['agile', 'go', 'java', 'javascript', 'php', 'python', 'ruby']",S1,full time
PT Arupa Cloud Nusantara,IT Project Manager,Product / Project / Scrum,Jakarta Selatan,,"['agile', 'excel', 'scrum']",S1,full time
PT Bureau Veritas Indonesia,Business Development Manager - Infrastructure Sector,Network / Infra / SysAdmin,Jakarta Raya,,[],S1,full time
PT Mid Solusi Nusantara (MEKARI),Technical Program Manager,Other,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,full time
PT Mitra Solusi Telematika,SAP FICO Consultant (Sr. Associate - Junior),Security / Cybersecurity,Yogyakarta,,[],Tidak Disebutkan,kontrak/temporer
Widya Analytic,Mobile Developer,Mobile Developer,DI Yogyakarta(Jarak jauh),3000000.0,"['android', 'c', 'flutter', 'git', 'ios', 'java', 'kotlin', 'react', 'react native', 'swift']",S1,paruh waktu
PT Tiga Daya Digital Indonesia (Eksad Technology),ETL Developer,Data / AI,Yogyakarta,,"['aws', 'azure', 'oracle', 'postgresql', 'python', 'sql']",S1,kontrak/temporer
ABeam Consulting Indonesia,Manufacturing Automotive Industry Pre-sales & Project Manager,Product / Project / Scrum,Jakarta Raya,,['iot'],S1,full time
commsult Indonesia,Software Development Manager,Other,Tangerang District,,"['angular', 'flutter', 'java', 'react']",Tidak Disebutkan,full time
PT Platinumetrix Global Inovasi,Java developer,Backend Engineer,Jakarta Raya,12000000.0,['java'],Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Business Intelligence Developer - Multifinance Industry,Data / AI,Jakarta Raya,,"['numpy', 'pandas', 'postgresql', 'python', 'sql', 'tableau']",Tidak Disebutkan,kontrak/temporer
PT Graha Karya Informasi,AI Engineer,Data / AI,Jakarta Raya,,"['aws', 'azure', 'docker', 'kubernetes', 'python', 'pytorch', 'tensorflow']",Tidak Disebutkan,full time
PT. Digital Apta Media,Fullstack Developer,Fullstack Engineer,Bandung,5000000.0,"['agile', 'go', 'git', 'golang', 'java', 'javascript', 'mongodb', 'mysql', 'php', 'postgresql', 'react', 'scrum', 'ui/ux', 'vue']",S1,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),SAP SD - Automotive Industry,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,kontrak/temporer
Feedloop AI,Project Manager,Product / Project / Scrum,Jakarta Raya(Hibrid),9500000.0,"['agile', 'scrum']",Tidak Disebutkan,full time
Pengiklan Anonim,AI Engineer – Business Automation,Data / AI,Jakarta Raya,12500000.0,"['javascript', 'python']",Tidak Disebutkan,full time
Cargill,Software Engineering - Ag & Trading,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Elabram Systems,Software Engineer,Other,Jakarta Raya,,"['agile', 'aws', 'git', 'golang', 'java', 'mysql']",S1,kontrak/temporer
Macquarie Group,Senior Equities Sales Trader,Frontend Engineer,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Xtremax Teknologi Indonesia,Full Stack Developer,Fullstack Engineer,Bandung,,"['agile', 'aws', 'azure', 'git', 'google cloud', 'javascript', 'node.js', 'react', 'typescript']",S1,full time
PT SoftwareSeni,Senior Fullstack .NET Developer,Fullstack Engineer,Yogyakarta,,"['.net', 'agile', 'git', 'react', 'sql']",Tidak Disebutkan,full time
Cermati Fintech Group,Lead Software Engineer,Other,Jakarta Raya,,"['git', 'java', 'mysql', 'postgresql']",Tidak Disebutkan,full time
Feedloop AI,iOS Developer,Mobile Developer,Jakarta Pusat,12500000.0,"['git', 'ios', 'swift', 'ui/ux']",Tidak Disebutkan,kontrak/temporer
Code.id,Backend Node.JS Developer,Backend Engineer,Jakarta Raya,,"['docker', 'git', 'javascript', 'node.js']",Tidak Disebutkan,full time
TSP The Software Practice,Fullstack Developer,Fullstack Engineer,Bandung,,"['css', 'go', 'git', 'html', 'javascript', 'node.js', 'react']",S1,full time
PT IBMC Business Group,Senior Developer,Other,Jakarta Raya(Jarak jauh),17500000.0,"['.net', 'agile', 'angular', 'c', 'c#', 'postgresql', 'react', 'sql', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT Media Indonusa (Jakarta),Presales Specialist,Sales / Presales / Solution,Jakarta Pusat,,[],S1,full time
PT Sea Group,Product Management (ShopeePay) - Sea Labs,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
ParagonCorp,QA Lead,QA / Tester,Jakarta Raya,,"['jenkins', 'jira']",S1,full time
PT Mitra Solusi Telematika,Quality Assurance Analyst (Project Based),QA / Tester,Jakarta Selatan,,"['agile', 'android', 'excel', 'ios']",Tidak Disebutkan,kontrak/temporer
Takeya Consulting,Laravel/PHP Developer (Yogyakarta),Backend Engineer,Yogyakarta,,"['git', 'laravel']",Tidak Disebutkan,full time
PT. Entrepreneur Trust Digital,.Net Developer,Other,Jakarta Pusat,8500000.0,"['.net', 'mysql', 'redis', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Intikom Berlian Mustika,Lowongan Kerja SAP SD,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,kontrak/temporer
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Fullstack Developer (Golang Reacjts) for Banking industry,Backend Engineer,Jakarta Selatan,10850000.0,"['docker', 'git', 'golang', 'kubernetes']",S1,kontrak/temporer
TSP The Software Practice,.NET Developer (Web),Other,Bandung,,"['.net', 'aws', 'azure', 'c', 'c#', 'go', 'javascript']",Tidak Disebutkan,full time
Talent Search Recruitment,DevOps,DevOps / Cloud / SRE,Jakarta Raya,,"['docker', 'git', 'kubernetes', 'mysql', 'postgresql']",Tidak Disebutkan,full time
PT Nityo Infotech,Mobile Engineer iOS,Mobile Developer,Jakarta Selatan,17500000.0,"['android', 'ios', 'networking', 'swift']",Tidak Disebutkan,kontrak/temporer
PT IBMC Business Group,Senior AWS Dev Ops Engineer,DevOps / Cloud / SRE,Jakarta Raya(Jarak jauh),33000000.0,"['aws', 'networking', 'python', 'terraform']",Tidak Disebutkan,full time
Erajaya Group,Project Management Specialist,Other,Jakarta Raya,,[],S1,full time
PT Adi Media Expertindo,Lowongan Kerja Phyton Developer,Other,Surabaya,,"['python', 'sql']",S1,full time
CMLabs,UI/UX Designer,Frontend Engineer,Malang,,"['css', 'figma', 'html', 'ui/ux']",Tidak Disebutkan,full time
Midas Daya Technology,Midd. Android Developer,Mobile Developer,Jakarta Raya,,"['android', 'git', 'kotlin', 'ui/ux']",S1,kontrak/temporer
LEGALBISON,Senior SEO Specialist- Technical,Other,Jakarta Raya(Jarak jauh),21750000.0,['python'],Tidak Disebutkan,full time
"PT. Central Proteina Prima, Tbk",IT SAP SCM Department Head,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time
