Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
CSG International Sdn. Bhd.,Senior Frontend Engineer,Frontend Engineer,Jakarta Raya(Jarak jauh),,"['angular', 'css', 'html', 'javascript', 'react', 'scrum', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT Lawencon Internasional,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['agile', 'aws', 'docker', 'git', 'google cloud', 'jenkins', 'kubernetes', 'linux', 'mongodb', 'python', 'sql', 'terraform']",Diploma,full time
PT Berkah Kawasan Manyar Sejahtera,IT SUPPORT for AUTOGATE SYSTEM,Support / Helpdesk / IT Ops,Gresik,,['java'],S1,full time
PT. PERSOLKELLY Recruitment Indonesia,Solution Engineer - WFO Jakarta (ID: 693727),Sales / Presales / Solution,Jakarta Pusat,,"['azure', 'cybersecurity', 'docker', 'kubernetes', 'networking']",S1,kontrak/temporer
PT Avows Technologies,Java Developer (Quarkus),Backend Engineer,Jakarta Selatan,11000000.0,"['docker', 'java', 'kubernetes', 'mongodb', 'oracle', 'postgresql', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Gandum Mas Kencana,Commercial Data Analyst Manager,Data / AI,South Tangerang,,"['power bi', 'sql', 'tableau']",Tidak Disebutkan,full time
PT Prudential Life Assurance,Apprenticeship - Production Support Automation,Support / Helpdesk / IT Ops,Jakarta Selatan,,"['linux', 'sql']",Tidak Disebutkan,kontrak/temporer
PT PRIME AGRI RESOURCES Tbk,SAP ABAP Developer,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time
PT Microvac Indonesia,Full Stack Programmer,Fullstack Engineer,Jakarta Raya,7200000.0,"['.net', 'angular', 'c', 'c#', 'css', 'docker', 'html', 'javascript', 'kubernetes', 'sql', 'typescript']",Tidak Disebutkan,full time
GRAB,"Senior Software Engineer, Backend - Consumer Experience",Backend Engineer,Jakarta Selatan,,"['agile', 'android', 'aws', 'c', 'c#', 'c++', 'css', 'flutter', 'go', 'golang', 'ios', 'java', 'javascript', 'jenkins', 'kotlin', 'kubernetes', 'mysql', 'networking', 'node.js', 'php', 'python', 'react', 'redis', 'ruby', 'swift']",Tidak Disebutkan,full time
PT. Heaven Funeral Indonesia,IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Utara,,['linux'],Tidak Disebutkan,full time
