Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
CR Consultancy Pte Ltd,Full Time IT Consultant (Cybersecurity & Automation),Security / Cybersecurity,Yogyakarta,8500000,['cybersecurity'],Tidak Disebutkan,full time,DI Yogyakarta
PT Sea Group,Network Operations Center Engineer (Marketplace) - Sea Labs,Network / Infra / SysAdmin,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
Transcosmos,Fullstack Developer (Bali) (26-06336),Fullstack Engineer,Jakarta Raya,,['sql'],Tidak Disebutkan,full time,DKI Jakarta
GML Performance Consulting,Developer (Fullstack),Fullstack Engineer,Jakarta Utara,,"['.net', 'agile', 'angular', 'c', 'c#', 'git', 'javascript', 'mysql', 'react', 'scrum', 'sql', 'ui/ux', 'vue']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Project Manager (Manufacature Industry),Product / Project / Scrum,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
Pengiklan Anonim,Web SSO Developer,Other,Tangerang,,"['.net', 'laravel', 'node.js', 'php']",Tidak Disebutkan,kontrak/temporer,Banten
PT 360 TEKNOLOGI INDONESIA,RPA Developer,Other,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,full time,DKI Jakarta
ASIA SISTEM INDONESIA,Full Stack Developer,Fullstack Engineer,Jakarta Selatan,8125000,"['.net', 'angular', 'django', 'docker', 'go', 'git', 'java', 'javascript', 'laravel', 'linux', 'mongodb', 'mysql', 'node.js', 'oracle', 'php', 'postgresql', 'python', 'react', 'spring boot', 'sql', 'ui/ux', 'vue']",S1,full time,DKI Jakarta
PT 360 TEKNOLOGI INDONESIA,IT Power Platform Developer,Other,Jakarta Raya(Jarak jauh),13000000,[],Tidak Disebutkan,full time,DKI Jakarta
Tridorian,Software Engineer - FullStack,Fullstack Engineer,Jakarta Raya,,"['css', 'figma', 'javascript', 'node.js', 'react', 'typescript']",S1,full time,DKI Jakarta
PT Topsel Raharja Indonesia,Fullstack Developer (Wordpress),Fullstack Engineer,Mojokerto,5000000,"['php', 'ui/ux']",Tidak Disebutkan,full time,Jawa Timur
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Junior Scrum Master - Banking Industry (Alam Sutra),Product / Project / Scrum,Tangerang District,,"['agile', 'jira', 'scrum']",S1,kontrak/temporer,Banten
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Business Analyst (SAP ABAP),Business / System Analyst,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Tri Mentari Niaga(Bintang Racing Team),WEB DEVELOPER,Other,Kabupaten Bogor,,"['angular', 'css', 'html', 'javascript', 'react', 'vue']",S1,full time,Jawa Barat
PT Global Service Indonesia,SAP ABAP Developer - GSI,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,['oracle'],Diploma,full time,DKI Jakarta
PT. Skyshi Digital Indonesia,Frontend Developer,Frontend Engineer,Yogyakarta,8500000,"['css', 'figma', 'javascript', 'react', 'typescript']",S1,kontrak/temporer,DI Yogyakarta
ABeam Consulting Indonesia,IT Project Manager - Data Management & Analytics,Data / AI,Jakarta Raya,,"['agile', 'big data', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Mid Solusi Nusantara (MEKARI),Partner Tech Enablement (Mekari Qontak),Other,Jakarta Raya(Hibrid),,['javascript'],S1,full time,DKI Jakarta
PT Arupa Cloud Nusantara,Presales & Technology Consultant,Sales / Presales / Solution,Jakarta Selatan,,['excel'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. Berca Hardayaperkasa,Oracle Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['oracle', 'sql']",S1,full time,DKI Jakarta
PT Telkomsel Ekosistem Digital,Fullstack Developer (Contract Based),Fullstack Engineer,Jakarta Raya,,"['aws', 'docker', 'figma', 'git', 'golang', 'kubernetes', 'postgresql', 'react', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Telkomsel Ekosistem Digital,DevSecOps (Contract Based),Other,Jakarta Raya,,"['agile', 'aws', 'docker', 'git', 'kubernetes', 'python', 'terraform']",S1,kontrak/temporer,DKI Jakarta
PT. HAND Solutions Indonesia,D365 ERP Finance Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,['go'],S1,full time,DKI Jakarta
PT Samsung Electronics Indonesia,Software Engineer - Fullstack,Fullstack Engineer,Jakarta Raya,,"['aws', 'c', 'c++', 'java', 'node.js', 'postgresql', 'python', 'redis', 'spring boot', 'typescript']",S1,full time,DKI Jakarta
PT Abadi Sejahtera Finansindo (Head Office),Fullstack Developer - PHP Laravel,Backend Engineer,Tangerang Regency,14000000,"['agile', 'aws', 'css', 'docker', 'git', 'html', 'jenkins', 'laravel', 'mysql', 'php', 'postgresql', 'react', 'redis', 'scrum', 'ui/ux']",Diploma,full time,Banten
PT Sinergy Informasi Pratama,Managed Service Engineer,Other,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
Pengiklan Anonim,Data Analyst (Marketing Sales),Data / AI,Jakarta Selatan,,"['excel', 'power bi', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT Indocyber Global Teknologi,BI Developer,Data / AI,Jakarta Raya,,"['aws', 'azure', 'git', 'mysql', 'oracle', 'postgresql', 'power bi', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Accord Innovations Indonesia,SAP Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Mid Solusi Nusantara (MEKARI),QA Engineer II,QA / Tester,Jakarta Raya,,"['agile', 'git', 'jira']",Tidak Disebutkan,full time,DKI Jakarta
PT Focus Solusi Infotama,Team Leader Cybersecurity,Security / Cybersecurity,Jakarta Utara,,['cybersecurity'],S1,full time,DKI Jakarta
PT. Elabram Systems,Senior Quality Assurance Engineer,QA / Tester,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT Tiga Daya Digital Indonesia,Scrum Master,Product / Project / Scrum,Jakarta Raya,,"['agile', 'scrum']",S1,kontrak/temporer,DKI Jakarta
Ninja Xpress,Software Engineer in QA,QA / Tester,Jakarta Raya,,"['flutter', 'java', 'jira']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,Full Stack Developer (ReactJS & Golang),Backend Engineer,Jakarta Raya,,"['agile', 'golang', 'react', 'sql']",Diploma,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),UI/UX Designer - Transportation Industry,Frontend Engineer,Jakarta Raya(Hibrid),,"['figma', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. Cakra Tekno Nusantara,Fullstack Developer - AI Platform Solutions,Fullstack Engineer,Tangerang,7000000,"['aws', 'css', 'django', 'docker', 'git', 'mongodb', 'node.js', 'postgresql', 'python', 'react', 'ui/ux']",S1,full time,Banten
PT Graha Karya Informasi,Project Manager,Product / Project / Scrum,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Samsung Electronics Indonesia,Software Engineer - Database Administrator,Data / AI,Jakarta Raya,,"['mongodb', 'mysql', 'postgresql']",S1,full time,DKI Jakarta
CR Consultancy Pte Ltd,Full Time IT Consultant (Cybersecurity & Automation),Security / Cybersecurity,Jakarta Raya(Jarak jauh),8500000,['cybersecurity'],Tidak Disebutkan,full time,DKI Jakarta
PT Mandiri International Technology,Fullstack Developer,Fullstack Engineer,Jakarta Raya,,"['agile', 'git', 'java', 'mysql', 'oracle', 'postgresql', 'scrum', 'spring boot', 'sql']",S1,kontrak/temporer,DKI Jakarta
Whitefox,Head of Engineering / Principal Software Engineer in Indonesia,Other,Jakarta Raya(Jarak jauh),,"['agile', 'aws', 'azure', 'c', 'c#', 'css', 'golang', 'html', 'java', 'javascript', 'python', 'sql', 'typescript']",S1,full time,DKI Jakarta
PT Abadi Sejahtera Finansindo (Head Office),Mobile Developer (Flutter) - Fintech,Mobile Developer,Tangerang Regency,12000000,"['android', 'flutter', 'git', 'ios', 'ui/ux']",Diploma,full time,Banten
PT 360 TEKNOLOGI INDONESIA,.NET DEVELOPER,Other,Jakarta Raya(Hibrid),10500000,"['.net', 'android', 'react']",Tidak Disebutkan,full time,DKI Jakarta
EY,Assurance - Technology Risk - Associate,Security / Cybersecurity,Jakarta Raya,,"['excel', 'power bi', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
Demandlane,Product Manager,Product / Project / Scrum,Jakarta Raya(Jarak jauh),18500000,['nlp'],Tidak Disebutkan,full time,DKI Jakarta
Soedarpo Informatika,Android Developer (Kotlin),Mobile Developer,Jakarta Barat,8500000,"['android', 'git', 'kotlin']",Diploma,kontrak/temporer,DKI Jakarta
PT Kamoro Maxima Integra,Full Stack (.NET Developer),Fullstack Engineer,Jakarta Selatan,,"['.net', 'agile', 'c', 'c#', 'css', 'html', 'mongodb', 'mysql', 'oracle', 'sql']",S1,full time,DKI Jakarta
PT FedEx Express International,ID0563 Engineer 1 to Engineer-Snr II,Other,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT NH Korindo Sekuritas Indonesia,"HTS Software Developer (C/C++, MFC 6.0)",Other,Jakarta Selatan,15000000,"['c', 'c++', 'git', 'jira']",Tidak Disebutkan,full time,DKI Jakarta
TIKTOK PTE LTD (TIKTOK),"Backend Software Engineer, TikTok Shop (Supply Chain and Logistics)",Backend Engineer,Jakarta Raya,,"['c', 'c++', 'golang', 'java', 'mysql', 'networking', 'python', 'redis']",S1,full time,DKI Jakarta
Integrity,Technical Writer,Other,Jakarta Raya,,['ui/ux'],S1,kontrak/temporer,DKI Jakarta
WireHire,Head of IT Network & Audit,Network / Infra / SysAdmin,Jakarta Raya,,"['c', 'cybersecurity']",S1,full time,DKI Jakarta
Pengiklan Anonim,Backend Engineer (Cloud Integrations & Platform Logic),Backend Engineer,Jakarta Raya(Jarak jauh),80000,"['.net', 'aws', 'azure', 'kubernetes', 'node.js', 'python', 'sql']",Tidak Disebutkan,paruh waktu,DKI Jakarta
PT Hashmicro Solusi Indonesia,ERP Software Developer,ERP / SAP / Odoo / Dynamics,Jakarta Raya(Jarak jauh),,"['css', 'html', 'javascript', 'postgresql', 'python']",S1,full time,DKI Jakarta
Mataram Consultancy,AWS & Technical Manager,DevOps / Cloud / SRE,Jakarta Raya,35000000,"['aws', 'docker', 'jenkins', 'kubernetes', 'linux', 'networking', 'terraform']",S1,full time,DKI Jakarta
"Abhidi Solution (Thai) Co., Ltd.",Oracle Fusion Functional consultant,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,['oracle'],Tidak Disebutkan,full time,DKI Jakarta
PT Insura Media Solusi (Jakarta),DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya,6750000,"['aws', 'azure', 'docker', 'git', 'google cloud', 'jenkins']",Tidak Disebutkan,full time,DKI Jakarta
PT Tempopress International Delivery,Full Stack Developer,Fullstack Engineer,Jakarta Utara,,"['javascript', 'linux', 'mysql', 'networking', 'php', 'postgresql', 'react']",S1,full time,DKI Jakarta
PT Mandiri International Technology,IT Project Manager,Product / Project / Scrum,Jakarta Raya,,"['agile', 'go', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Higo Fitur Indonesia,Full Stack Developer,Fullstack Engineer,Jakarta Barat,7250000,"['sql', 'ui/ux']",Tidak Disebutkan,full time,DKI Jakarta
PT Walden Global Services,Java Developer,Backend Engineer,Jakarta Timur,,"['java', 'jenkins', 'mysql', 'postgresql', 'sql']",S1,full time,DKI Jakarta
PT Digital Sinergi Perkara,Full Stack Developer,Fullstack Engineer,Jakarta Barat,5500000,"['git', 'javascript', 'mongodb', 'mysql', 'node.js', 'postgresql', 'python', 'react']",Tidak Disebutkan,full time,DKI Jakarta
PT. Entrepreneur Trust Digital,Backend Developer Golang,Backend Engineer,Jakarta Pusat,9500000,"['docker', 'golang', 'redis']",S1,kontrak/temporer,DKI Jakarta
TenX Technology,INTERN - Software Developer,Other,Jakarta Selatan,,"['aws', 'azure', 'go', 'google cloud', 'python', 'react']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT DOODEX JAYA MAKMUR,Odoo Developer (Odoo ERP mandatory),ERP / SAP / Odoo / Dynamics,Sleman,,"['git', 'javascript', 'linux', 'postgresql', 'python']",Tidak Disebutkan,full time,DI Yogyakarta
Karunia Prima Nastari (KPN CORP.),Senior AI Engineer,Data / AI,Jakarta Selatan,,"['machine learning', 'nlp', 'numpy', 'pandas', 'python', 'pytorch', 'tensorflow']",S1,full time,DKI Jakarta
PT GITS Indonesia,Back End Developer (Golang),Backend Engineer,Bandung,,"['docker', 'golang', 'kubernetes', 'mongodb', 'mysql', 'postgresql', 'redis', 'sql']",S1,kontrak/temporer,Jawa Barat
PT. EMTRADE TEKNOLOGI FINANSIAL,Backend Developer,Backend Engineer,Surakarta,8500000,"['docker', 'git', 'golang', 'google cloud', 'postgresql', 'sql']",Tidak Disebutkan,full time,Jawa Tengah
MSBU Konsultan Indonesia,Lowongan Kerja Backend Developer,Backend Engineer,Yogyakarta,,"['.net', 'c', 'c#', 'cybersecurity', 'git', 'javascript', 'sql']",S1,full time,DI Yogyakarta
Pengiklan Anonim,IT Project Manager (Senior Level),Product / Project / Scrum,Jakarta Utara,18750000,['c'],S1,full time,DKI Jakarta
PT Porto Indonesia Sejahtera,Senior IT Development,Other,Jakarta Utara,6500000,"['aws', 'docker', 'google cloud', 'html', 'javascript', 'kubernetes', 'php', 'python', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT. KODE KOLEKTIF INDONESIA,DevOps Engineer - Infrastructure & Platform Operations,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'azure', 'docker', 'go', 'git', 'golang', 'google cloud', 'jenkins', 'kubernetes', 'laravel', 'mysql', 'python', 'redis']",Tidak Disebutkan,full time,DKI Jakarta
PT Samsung Electronics Indonesia,Software Engineer - Cloud Infrastructure,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'c', 'c++', 'docker', 'java', 'jenkins', 'kubernetes', 'networking', 'python', 'terraform']",S1,full time,DKI Jakarta
PT UXINDO DIGITAL INDONESIA,AI Developer,Data / AI,Jakarta Raya(Jarak jauh),,"['python', 'pytorch', 'tensorflow']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
BINAR’s Partner,[G08] Talent Pooling: Backend Developer (Golang),Backend Engineer,Jakarta Raya(Hibrid),,"['aws', 'docker', 'flask', 'git', 'golang', 'google cloud', 'javascript', 'mongodb', 'node.js', 'postgresql', 'react']",Tidak Disebutkan,full time,DKI Jakarta
PT Global Service Indonesia,SAP SD Functional - GSI,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Fullstack Developer (Vue Js & Java) - Banking Syariah Industry,Backend Engineer,Jakarta Raya,,"['java', 'vue']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
ABeam Consulting Indonesia,Global PMO Consultant,Product / Project / Scrum,Jakarta Raya,,['go'],Tidak Disebutkan,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Fullstack Developer - Manufacture Industry,Fullstack Engineer,Jakarta Raya,,"['agile', 'css', 'html', 'laravel', 'mysql', 'php', 'python', 'react', 'sql', 'vue']",S1,kontrak/temporer,DKI Jakarta
PT Persada Duta Beliton (Persada Indonesia),Front End Developer,Frontend Engineer,Surabaya,,"['flutter', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,Jawa Timur
Technology Solutions,"Lead Systems Engineer, Security Systems",Security / Cybersecurity,Jakarta Raya,,['cybersecurity'],Tidak Disebutkan,full time,DKI Jakarta
PT NexWave,Core Network Engineer (Telecom Industry),Network / Infra / SysAdmin,Jakarta Raya,30000000,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Mid Solusi Nusantara (MEKARI),Product Manager (Mekari Officeless),Product / Project / Scrum,Jakarta Raya(Hibrid),,"['javascript', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
The Harvest Group,IT Programmer Manager,Other,Jakarta Raya,,"['agile', 'aws', 'azure', 'git', 'google cloud', 'java', 'javascript', 'mysql', 'node.js', 'php', 'postgresql', 'python', 'react', 'sql', 'ui/ux', 'vue']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Golang Developer - Banking Industry,Backend Engineer,Tangerang District,,"['golang', 'java', 'sql']",Tidak Disebutkan,kontrak/temporer,Banten
PT Sea Group,QA Engineer (Marketplace) - Sea Labs,QA / Tester,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Sekar Bumi Tbk,Full Stack Developer,Fullstack Engineer,Jakarta Selatan,,"['sql', 'ui/ux']",S1,full time,DKI Jakarta
Gefami Services Indonesia,Java Developer,Backend Engineer,Jakarta Raya,,"['java', 'jira']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,.Net Developer Surabaya,Other,Surabaya,11000000,[],Tidak Disebutkan,full time,Jawa Timur
PT Xtremax Teknologi Indonesia,Team Lead Developer,Other,Bandung,,['java'],S1,full time,Jawa Barat
Cermati Fintech Group,Lead Software Quality Assurance .,QA / Tester,Jakarta Raya,,"['agile', 'android', 'ios', 'java', 'jenkins', 'python', 'ruby', 'sql', 'ui/ux']",Tidak Disebutkan,full time,DKI Jakarta
Cloudisai Technology Services,SQL Developer (Middle – Senior),Other,Yogyakarta,,"['aws', 'azure', 'oracle', 'postgresql', 'python', 'sql']",S1,full time,DI Yogyakarta
PT Global Digital Niaga,Senior Product Manager - Search,Product / Project / Scrum,Jakarta Raya,,"['go', 'jira']",S1,full time,DKI Jakarta
GoTo Financial,Software Engineer DevOps,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'go', 'kubernetes', 'python', 'react', 'terraform', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PT. Entrepreneur Trust Digital,React Native Developer,Frontend Engineer,Jakarta Pusat,8000000,"['react', 'react native', 'typescript']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Lentera Bangsa Benderang,Backend Java Developer,Backend Engineer,Jakarta Selatan,11000000,"['git', 'java', 'spring boot']",S1,kontrak/temporer,DKI Jakarta
VisionTech Pte. Ltd,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya(Jarak jauh),18750000,"['aws', 'azure', 'css', 'docker', 'git', 'google cloud', 'html', 'javascript', 'kubernetes', 'linux', 'machine learning', 'mongodb', 'php', 'python', 'sql', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT Berlian Sistem Informasi,Lowongan Kerja Senior .Net Engineer,Other,Jakarta Raya,,"['.net', 'aws', 'azure', 'docker', 'google cloud', 'java', 'javascript', 'sql']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Mobile Developer Cordova/Ionic/React Native for Insurance Industry,Frontend Engineer,Jakarta Pusat,11000000,"['react', 'react native']",S1,kontrak/temporer,DKI Jakarta
Capital Financial Indonesia,Head of IT Department,Other,Jakarta Raya,,"['agile', 'aws', 'azure', 'cybersecurity']",S1,full time,DKI Jakarta
PT Sea Group,Back End Engineer (Credit) - Sea Labs,Backend Engineer,Jakarta Raya,,['golang'],Tidak Disebutkan,full time,DKI Jakarta
DVI Solution,Full Stack Engineer,Fullstack Engineer,Jakarta Raya,,"['agile', 'azure', 'docker', 'go', 'git', 'golang', 'javascript', 'linux', 'react', 'scrum', 'sql', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PCS Group,Lowongan Kerja Cyber Security Engineer,Security / Cybersecurity,Tangerang District,,[],S1,full time,Banten
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Project Manager - Software Company (English Speaker),Product / Project / Scrum,Jakarta Raya(Jarak jauh),,['agile'],S1,kontrak/temporer,DKI Jakarta
PT Agres Info Teknologi,PRODUCT MANAGER (KOMPUTER),Product / Project / Scrum,Jakarta Utara,,['excel'],S1,full time,DKI Jakarta
Ctlyst,Site Reliability Engineer / DevOps,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'docker', 'go', 'git', 'linux', 'mongodb', 'mysql', 'networking', 'postgresql', 'python', 'redis', 'terraform']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Talent Search Recruitment,Web Application Developer,Other,Jakarta Raya(Jarak jauh),,"['agile', 'css', 'git', 'google cloud', 'html', 'javascript', 'mysql', 'node.js', 'postgresql', 'react', 'typescript']",Diploma,full time,DKI Jakarta
PT IBM Indonesia,Technical Support Engineer,Support / Helpdesk / IT Ops,Jakarta Raya(Jarak jauh),,['aws'],Tidak Disebutkan,full time,DKI Jakarta
Merkle Innovation,Lead Data Analyst,Data / AI,Jakarta Raya(Hibrid),,"['power bi', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT. Elabram Systems,Senior Quality Assurance Lead,QA / Tester,Jakarta Raya,,"['agile', 'android', 'ios', 'scrum']",S1,kontrak/temporer,DKI Jakarta
TIKTOK PTE LTD (TIKTOK),Backend Software Engineer (TikTok Shop by Tokopedia),Backend Engineer,Jakarta Raya,,"['golang', 'java', 'python']",S1,full time,DKI Jakarta
PT. Entrepreneur Trust Digital,iOS Swift Developer,Mobile Developer,Jakarta Pusat,9500000,"['agile', 'git', 'ios', 'swift']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. ALDMIC COOPN DIGITAL,IT Security Engineer,Security / Cybersecurity,Jakarta Barat,10000000,"['aws', 'cybersecurity', 'linux', 'networking']",S1,full time,DKI Jakarta
PT Oveersea Global Group,AI & RPA Developer,Data / AI,Jakarta Raya,8500000,"['.net', 'aws', 'azure', 'c', 'c#', 'git', 'google cloud', 'java', 'machine learning', 'nlp', 'oracle', 'python', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT World Geeks Hub,.NET Developer,Other,Bandung,,"['.net', 'c', 'c#', 'mysql', 'sql']",Diploma,kontrak/temporer,Jawa Barat
Granitor/CheckProof,[240] UX Designer,Frontend Engineer,Bandung,,['figma'],Tidak Disebutkan,full time,Jawa Barat
PT Mid Solusi Nusantara (MEKARI),Project Manager 2,Product / Project / Scrum,Jakarta Raya,,['agile'],Tidak Disebutkan,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),SAP SD Consultant (Automotive Industry),ERP / SAP / Odoo / Dynamics,Jakarta Utara,14500000,[],S1,kontrak/temporer,DKI Jakarta
PT Global Service Indonesia,Fullstack NET Developer - GSI,Fullstack Engineer,Jakarta Raya,,"['.net', 'azure', 'c', 'c#', 'html', 'mysql', 'sql']",Diploma,full time,DKI Jakarta
TIKTOK PTE LTD (TIKTOK),Music Product Operations Manager (Jakarta) - TikTok SoundOn,Other,Jakarta Raya,,['excel'],Tidak Disebutkan,full time,DKI Jakarta
VisionTech Pte. Ltd,Full Stack Developer,Fullstack Engineer,Jakarta Raya(Jarak jauh),12500000,"['.net', 'aws', 'c', 'c#', 'css', 'docker', 'git', 'html', 'javascript', 'machine learning', 'mysql', 'postgresql', 'python', 'pytorch', 'redis']",Tidak Disebutkan,full time,DKI Jakarta
PT Fintek Digital Indonesia,Full Stack Developer (Java),Backend Engineer,Jakarta Selatan,,"['angular', 'docker', 'git', 'java', 'javascript', 'react', 'spring boot', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PT Oveersea Global Group,SAP ABAP Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Raya,8500000,[],S1,kontrak/temporer,DKI Jakarta
Cermati Fintech Group,Senior Software Engineer,Other,Jakarta Raya,,"['git', 'google cloud', 'java', 'kubernetes', 'mysql', 'postgresql', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,Fullstack Golang Developer,Backend Engineer,South Tangerang,9500000,['golang'],Tidak Disebutkan,full time,Banten
Demandlane,"Senior Backend Engineer (Java, Lambda)",Backend Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'azure', 'iot', 'java', 'linux', 'mongodb', 'mysql', 'networking', 'postgresql', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
ParagonCorp,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['agile', 'aws', 'azure', 'docker', 'go', 'jenkins', 'kubernetes', 'python', 'terraform']",S1,full time,DKI Jakarta
Midas Daya Technology,Midd. Java Developer,Backend Engineer,Jakarta Raya,,"['git', 'java', 'mysql', 'oracle', 'postgresql', 'spring boot', 'sql']",S1,kontrak/temporer,DKI Jakarta
Happy5,Associate Product Manager (Remote),Security / Cybersecurity,Jakarta Raya(Jarak jauh),,"['figma', 'go']",Tidak Disebutkan,full time,DKI Jakarta
PT. DAKARA TEKNOLOGI INDONESIA,Remote Software Developer,Other,Tangerang,8250000,"['agile', 'aws', 'azure', 'c', 'c#', 'docker', 'git', 'java', 'mongodb', 'mysql', 'oracle', 'postgresql', 'python', 'redis', 'scrum', 'spring boot', 'sql']",S1,full time,Banten
Halosis,Senior Full Stack Developer,Fullstack Engineer,Jakarta Barat,,"['aws', 'azure', 'docker', 'flask', 'javascript', 'kubernetes', 'laravel', 'nlp', 'node.js', 'php', 'python', 'react', 'typescript', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,Fullstack Golang + React.Js Developer,Backend Engineer,Jakarta Raya,9500000,"['golang', 'react']",Tidak Disebutkan,full time,DKI Jakarta
PT GWS Era Medika,Senior Product Manager,Product / Project / Scrum,Jakarta Raya,,['agile'],S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IT Project Maneger (Life Insurance Industry),Other,Jakarta Utara,13500000,['c'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. DAKARA TEKNOLOGI INDONESIA,Senior Developer / Team Lead (System Architecture),Other,Tangerang,8250000,"['agile', 'aws', 'azure', 'c', 'c#', 'docker', 'git', 'java', 'javascript', 'mongodb', 'mysql', 'postgresql', 'python', 'redis', 'scrum', 'sql']",S1,full time,Banten
PT SoftwareSeni,AI Engineer (Python),Data / AI,Yogyakarta,,"['css', 'django', 'git', 'html', 'javascript', 'mysql', 'pandas', 'postgresql', 'python']",Diploma,full time,DI Yogyakarta
PT Platinumetrix Global Inovasi,FullStack Golang Developer (ReactJS + Golang),Backend Engineer,Jakarta Raya,8500000,"['docker', 'golang', 'javascript', 'kubernetes', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Sea Group,QA Engineer (Digital Purchase) - Sea Labs,QA / Tester,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. Elabram Systems,Senior Software Engineer,Other,Jakarta Raya,,"['agile', 'aws', 'git', 'golang', 'java', 'mysql']",S1,kontrak/temporer,DKI Jakarta
Arkana,Solution Architect,Other,Jakarta Raya,,['go'],Tidak Disebutkan,full time,DKI Jakarta
NAVEGaid,UX/UI Designer (E-Commerce & Web Apps) - 7th hire at a Startup!,Frontend Engineer,Jakarta Raya,6750000,"['css', 'figma', 'html', 'ui/ux']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
Smart Working Solutions,"Lowongan Kerja HR109 Mid-level Front End Engineer Remote, Full-Time EU",Frontend Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'css', 'docker', 'html', 'javascript', 'typescript', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
ParagonCorp,Master Data Management (Product to Market),Data / AI,Jakarta Raya,,[],S1,full time,DKI Jakarta
