Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT.Indotex Lasalle International College,CLOUD ADMINISTRATOR - MICROSOFT,DevOps / Cloud / SRE,Jakarta Pusat,17500000,"['azure', 'cybersecurity', 'docker', 'kubernetes', 'sql', 'terraform']",S1,full time,DKI Jakarta
Qurinom Solutions,Solution Architect,Other,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Alfabeta Solusi Nusantara,Javascript/Typescript AI Engineer,Backend Engineer,Jakarta Raya,,"['angular', 'c', 'c++', 'git', 'java', 'javascript', 'mongodb', 'mysql', 'oracle', 'php', 'postgresql', 'python', 'react', 'redis', 'ruby', 'typescript', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Traktor Nusantara,Information Technology Full Stack Application Development - TN,Fullstack Engineer,Jakarta Raya,,"['.net', 'c', 'c#', 'javascript']",S1,full time,DKI Jakarta
PT Cipta Adhyabusana,IT Developer,Other,Jakarta Barat,,"['angular', 'css', 'google cloud', 'javascript', 'laravel', 'mysql', 'node.js', 'php', 'sql']",Diploma,full time,DKI Jakarta
PT Mandiri International Technology,IT Business Analyst Insurance,Business / System Analyst,Jakarta Raya,,"['agile', 'scrum']",S1,kontrak/temporer,DKI Jakarta
ASSA Rent (Jakarta),Network Specialist & Cloud Engineer,DevOps / Cloud / SRE,Jakarta Utara,,"['networking', 'tcp/ip']",S1,full time,DKI Jakarta
PT Sea Group,Product Operations (S&R&A&C) - Sea Labs,Other,Jakarta Raya,,['machine learning'],Tidak Disebutkan,full time,DKI Jakarta
PT Jasuindo Tiga Perkasa Tbk,SENIOR PERSONALIZATION DEVELOPMENT,Other,Sidoarjo,,['c'],Diploma,full time,Jawa Timur
PT. Berca Hardayaperkasa,Presales Network,Network / Infra / SysAdmin,Jakarta Raya,,['networking'],S1,full time,DKI Jakarta
PT Aviana Sinar Abadi,Data Engineer,Data / AI,Jakarta Selatan,10000000,"['docker', 'git', 'kubernetes', 'machine learning', 'mysql', 'postgresql', 'python', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Platinumetrix Global Inovasi,Jr.  IT Governance Risk & Compliance,Other,Jakarta Selatan,8500000,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT COGNIFY DIGITAL TECHNOLOGY INDONESIA,Backend Development Engineer,Backend Engineer,DI Yogyakarta,406250,"['docker', 'java', 'linux', 'mysql', 'postgresql', 'redis', 'spring boot']",S1,kontrak/temporer,DI Yogyakarta
PT Higo Fitur Indonesia,Computer Vision Engineer,Other,Jakarta Barat,6000000,"['arduino', 'c', 'c++', 'linux', 'python', 'pytorch', 'raspberry pi', 'tensorflow']",Tidak Disebutkan,full time,DKI Jakarta
PT JAVAN CIPTA SOLUSI,Fullstack Programmer,Fullstack Engineer,Sleman,7000000,"['docker', 'git', 'javascript', 'jenkins', 'mongodb', 'postgresql']",Tidak Disebutkan,full time,DI Yogyakarta
PT ABISHAR TECHNOLOGIES INDONESIA,System Analyst (Data),Data / AI,Jakarta Selatan,10500000,"['agile', 'jira', 'scrum', 'sql']",S1,full time,DKI Jakarta
PT MAINSTORY TEKNOLOGI INDONESIA (MainStory Daycare & HomeCare Pintar),Fullstack Engineer Intern,Fullstack Engineer,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,full time,DKI Jakarta
Karunia Prima Nastari (KPN CORP.),IT Engineer Intern,Other,Jakarta Selatan,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. Gliggy Integrasi Nusantara,IT System & Software Analyst,Business / System Analyst,Jakarta Selatan,11000000,"['figma', 'iot', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT. Entrepreneur Trust Digital,Scrum Master,Product / Project / Scrum,Jakarta Pusat,10000000,"['agile', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Hashmicro Solusi Indonesia,Software Technical Support,Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),IoT Engineer,Other,Jakarta Timur,7000000,"['c', 'c++', 'iot', 'python']",S1,kontrak/temporer,DKI Jakarta
PT Intikom Berlian Mustika - Talent Acquisition,Microsoft Intune Engineer (Endpoint Engineer),Other,Jakarta Raya,,"['android', 'azure', 'ios']",S1,kontrak/temporer,DKI Jakarta
Anteraja,IT Budget Control Officer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time,DKI Jakarta
